id,area,feature,user_story,expected_behavior,status_after_changes,test_coverage,open_issues,resolution_notes
F-SVC-002,Services,Service status check,"Detect whether each dependency is installed and/or running","Lookup executable/process with OS-appropriate logic and alias fallback","PASS","go test ./internal/services","Potential false negatives with binary aliases","Added alias list for common service commands"
F-SVC-003,Services,Port scan map checks,"Probe ports for dependencies from known port map","Open/closed list returned for all configured ports","PASS","go test ./internal/services","No sorting before; now deterministic","Sorted results added"
F-LANG-001,Langfetch,Go fetcher,"`go` key returns go version and module path","Fetches `go version` and `go env GOMOD`","PASS","go test ./internal/langfetch","none","No change needed"
F-LANG-002,Langfetch,Node fetcher,"`node` key returns Node + npm metadata","Returns node and npm versions and global package list","PASS","go test ./internal/langfetch","None","No change needed"
F-LANG-003,Langfetch,Python fetcher,"`python` key returns Python and pip","Uses `python3 --version` and `pip3 --version`","PASS","go test ./internal/langfetch","None","No change needed"
F-LANG-004,Langfetch,PHP fetcher,"`php` key returns PHP and Composer","Reads first line of php version and composer details","PASS","go test ./internal/langfetch","None","No change needed"
F-LANG-005,Langfetch,Rust fetcher,"`rust` key returns rustc/cargo versions","Fetches Rust toolchain versions","PASS","go test ./internal/langfetch","None","No change needed"
F-LANG-006,Langfetch,Java fetcher,"`java` key returns runtime plus Maven/Gradle","Reports java version and build-tool versions","PASS","go test ./internal/langfetch","None","No change needed"
F-LANG-007,Langfetch,Ruby fetcher,"`ruby` key returns ruby and gem version","Fetches Ruby and gem toolchain","PASS","go test ./internal/langfetch","None","No change needed"
F-LANG-008,Langfetch,Stack fetcher:C LAMP,"`lamp` resolves Apache/MySQL/PHP versions","Each component is collected; missing output marks stack unavailable","PASS","go test ./internal/langfetch","Potential component bin mismatch exists in older configs","No change needed"
F-LANG-009,Langfetch,Stack fetcher:LEMP,"`lemp` resolves Nginx/MySQL/PHP versions","Stack report is component-aggregated","PASS","go test ./internal/langfetch","Potential mismatched binary detection for service checks handled separately","No change needed"
F-LANG-010,Langfetch,Stack fetcher:MEAN,"`mean` resolves MongoDB/Node/npm/Angular","Collects each component; returns error if none available","PASS","go test ./internal/langfetch","None","No change needed"
F-LANG-011,Langfetch,Stack fetcher:MERN,"`mern` resolves MongoDB/Node/npm/Yarn","Stack report includes all component versions","PASS","go test ./internal/langfetch","None","No change needed"
F-LANG-012,Langfetch,Stack fetcher:MEVN,"`mevn` resolves MongoDB/Node/npm/Vue","Stack report includes all component versions","PASS","go test ./internal/langfetch","None","No change needed"
F-LANG-013,Langfetch,Stack fetcher:JAM,"`jam` resolves Node/npm/Gatsby CLI","Stack report includes component list and versions","PASS","go test ./internal/langfetch","None","No change needed"
F-LANG-014,Langfetch,Stack fetcher:PERN,"`pern` resolves PostgreSQL/Node/npm","Stack report includes PostgreSQL and JS tooling","PASS","go test ./internal/langfetch","None","No change needed"
F-LANG-015,Langfetch,Stack fetcher:ELK,"`elk` resolves Elasticsearch/Logstash/Kibana versions","Stack report includes each service component","PASS","go test ./internal/langfetch","None","No change needed"
F-LANG-016,Langfetch,Stack fetcher:EFK,"`efk` resolves Elasticsearch/Fluentd/Kibana versions","Stack report includes each service component","PASS","go test ./internal/langfetch","None","No change needed"
F-LANG-017,Langfetch,Stack fetcher:TALL,"`tall` resolves Laravel artisan/Tailwind/npm","Captures stack details from project tools","PASS","go test ./internal/langfetch","None","No change needed"
F-LANG-018,Langfetch,Stack fetcher:SMACK,"`smack` resolves Spark/Mesos/Akka/Cassandra/Kafka","Tool commands are executable-name based; typos were corrected","PASS","go test ./internal/langfetch","Previous commands had unicode dashes that could fail","Sanitized command names"
F-LANG-019,Langfetch,Stack fetcher:SLAD,"`slad` resolves AWS/SAM CLI versions","Collects deployment tooling versions","PASS","go test ./internal/langfetch","None","No change needed"
F-LANG-020,Langfetch,Stack fetcher:K-Stack,"`kstack` resolves Kubernetes tooling versions","Checks kubectl/kustomize/helm/k3d toolchain","PASS","go test ./internal/langfetch","Display label corrected to ASCII","No behavioral change"
F-LANG-021,Langfetch,Stack fetcher:FAMP,"`famp` resolves Apache/MySQL/PHP with Apachectl alias support","Dependency checks now better match service names","PASS","go test ./internal/langfetch + go test ./internal/services","Previous dependency alias could miss apachectl-only setups","Alias support added in service check"
F-LANG-022,Langfetch,Stack fetcher:XAMPP,"`xampp` resolves Apache/MariaDB/PHP/Perl","Dependency report captures expected components","PASS","go test ./internal/langfetch","None","No change needed"
F-LANG-023,Langfetch,Simple binary fetchers,"Single-binary runtimes/devops tools are discoverable by `register`","Includes docker, compose, podman, kubectl, helm, terraform, git, make, redis, kafka etc","PASS","go test ./internal/langfetch","Some command names had unicode hyphens and were unreliable","Command names sanitized"
F-LANG-024,Langfetch,Guess integration,"Pattern-based inference","`Guess()` returns expected keys from file and directory cues with depth and wildcard filenames honored","PASS","go test ./internal/guess","Potential depth/hit guard was ineffective","Fixed in walker logic"
F-ARCH-001,Performance,Parallel fetching,"Stack fetchers run in bounded concurrency","Process up to 8 fetches concurrently","PASS","Existing tests","No change","No behavior change"
F-ARCH-002,Performance,Command output cache,"Repeated lookups within TTL use cached output","Avoid re-running binaries when output already cached","PASS","go test ./internal/cache","Cache previously returned empty output on hit","Fixed to return cached output bytes"
F-ARCH-003,Testability,Feature catalog,"Maintain one canonical tracker for stories and status","Single CSV source of truth for feature coverage and fix decisions","PASS","Manual review","None","Added this file as canonical tracking sheet"
F-OUT-001,Output,JSON output validation,"Validate `--json` is pure JSON","Command output is parseable JSON with no ANSI/text preamble","PASS","go run ./cmd/stackfetch --json | jq -e","Environment required jq","Added `jq`-validated check; JSON now parseable"
F-OUT-002,Output,Guess-mode error noise,"Avoid guessing-mode spam from unsupported inferred keys","Suppress unsupported-item diagnostics when results are auto-guessed, keep explicit argument diagnostics","PASS","go run ./cmd/stackfetch ? 2>/tmp/stackfetch-guess.err","No stderr after fix","Suppressed noisy guess errors in output layer"
F-TEST-001,Testing,Test harness robustness,"Support restricted environments for service-port checks","Port test skips when socket operations are denied","PASS","Updated internal/services/ports_test.go","No-op network sandbox in runner","CI-safe skip on permission error"
F-OUT-003,Output,Deep-dive UX,"As a maintainer, I can quickly identify stack health and risk in text output","Dependency health and security posture are shown as a compact, icon-led matrix with counts and state summaries","PASS","Manual review + release exercise","Noisy terminals in CI without NO_COLOR","Added ANSI-enabled colored headings, status icons, and summary rows"
F-OUT-004,Output,QA matrix CLI,"As a maintainer, I can query feature status from the CLI","`stackfetch qa` shows a story matrix and pass/fail summaries including optional area filtering","PASS","go test ./cmd/stackfetch ./internal/ui && go test ./cmd/stackfetch -run TestParseFeatureTracker -v","Noisy terminals and missing root tracker path in packaged release","Added `qa` subcommand, optional area filtering, status summaries, and fallback tracker path discovery"
F-OUT-005,Output,QA validation and strict gating,"As a maintainer, I can validate tracker integrity and enforce strict quality gates","`stackfetch qa --validate` and `stackfetch qa --strict` catch malformed tracker entries and blocked stories","PASS","go test ./cmd/stackfetch -run TestParseFeatureTracker|TestValidateFeatureTracker|TestRenderQAMatrixJSON|TestSummarizeQA","Tracked malformed fields and blocker handling from the canonical tracker","Added CLI validation flow and strict gate logic for blocked stories"
F-OUT-006,Output,QA machine-readable output,"As a maintainer, I can consume feature status in automation","`stackfetch qa --json` emits machine-readable summaries and issue diagnostics","PASS","go test ./cmd/stackfetch -run TestRenderQAMatrixJSON","Machine-readable mode lacked strict JSON in the `qa` path","Added JSON serialization with normalized status statistics"
F-REL-001,Release,Release workflow,"As a maintainer, I can create a tagged release and publish artifacts","Pushing `v*` tags triggers multi-platform builds, packaging, and release publication","PASS","Tag push (`git push origin <tag>`)","No new release errors introduced after workflow validation","Workflow publishes tagged artifacts and updates `latest`"
